last_edited_by,date_added,last_edited_date,raw_source,vessel_id,port,key,arr_date,port_master,aphorism,holiday_greeting,wisdom,saying,vessel_name,tonnage,length_overall,flag_country,vessel_company,vessel_type
Junior Shurdlu,2035-09-21T00:00:00Z,2035-09-28T00:00:00Z,Haacklee harbor reports,wavewranglerc2d,City of Haacklee,0,2035-09-14T00:00:00Z,Portmaster of Haacklee,"The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",What are you doing for Saw Appreciation Day this year?,"Boats, like whiskey, are all good.",An island is a world apart.,Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Haenyeo Hyun-Ki,2035-08-20T00:00:00Z,2035-08-22T00:00:00Z,Haacklee harbor reports,wavewranglerc2d,City of Haacklee,1,2035-08-20T00:00:00Z,Portmaster of Haacklee,Island life is life without corners.,"Wow, its Anoia's Cleaning again","Boats, like whiskey, are all good.",The secret ingredient is always saltwater.,Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Junior Shurdlu,2035-09-18T00:00:00Z,2035-09-24T00:00:00Z,Haacklee harbor reports,wavewranglerc2d,City of Haacklee,2,2035-09-17T00:00:00Z,Portmaster of Haacklee,"An island is not a place, it's a feeling.","Wow, its Offler Snack again",Home is where the anchor drops.,The sea is as near as we come to another world.,Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Haenyeo Hyun-Ki,2035-08-16T00:00:00Z,2035-08-23T00:00:00Z,Himark harbor reports,wavewranglerc2d,City of Himark,0,2035-08-16T00:00:00Z,Portmaster of Himark,"Beach more, worry less.",Merry Day of Future Hope to you all!,Happiness comes in waves.,"The goal is not to sail the boat, but rather to help the boat sail herself.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Haenyeo Hyun-Ki,2035-09-26T00:00:00Z,2035-10-02T00:00:00Z,Himark harbor reports,wavewranglerc2d,City of Himark,1,2035-09-21T00:00:00Z,Portmaster of Himark,The waves of the sea help me get back to me.,NA,There are always new places to go fishing.,Those who live by the sea can hardly form a single thought of which the sea would not be part.,Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Junior Shurdlu,2035-04-11T00:00:00Z,2035-04-19T00:00:00Z,Lomark harbor reports,wavewranglerc2d,City of Lomark,0,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",What are you doing for Minister's Day this year?,The secret ingredient is always saltwater.,"I must go down to the seas again, for the call of the running tide.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Haenyeo Hyun-Ki,2035-04-14T00:00:00Z,2035-04-16T00:00:00Z,Lomark harbor reports,wavewranglerc2d,City of Lomark,1,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",What are you doing for Minister's Day this year?,The secret ingredient is always saltwater.,"I must go down to the seas again, for the call of the running tide.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Haenyeo Hyun-Ki,2035-04-16T00:00:00Z,2035-04-25T00:00:00Z,Lomark harbor reports,wavewranglerc2d,City of Lomark,2,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",What are you doing for Minister's Day this year?,The secret ingredient is always saltwater.,"I must go down to the seas again, for the call of the running tide.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Junior Shurdlu,2035-04-12T00:00:00Z,2035-04-18T00:00:00Z,Lomark harbor reports,wavewranglerc2d,City of Lomark,3,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",What are you doing for Minister's Day this year?,The secret ingredient is always saltwater.,"I must go down to the seas again, for the call of the running tide.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Clepper Jessen,2035-04-11T00:00:00Z,2035-04-21T00:00:00Z,Lomark harbor reports,wavewranglerc2d,City of Lomark,4,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",What are you doing for Minister's Day this year?,The secret ingredient is always saltwater.,"I must go down to the seas again, for the call of the running tide.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Haenyeo Hyun-Ki,2035-04-14T00:00:00Z,2035-04-21T00:00:00Z,Lomark harbor reports,wavewranglerc2d,City of Lomark,5,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",What are you doing for Minister's Day this year?,The secret ingredient is always saltwater.,"I must go down to the seas again, for the call of the running tide.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Junior Shurdlu,2035-04-09T00:00:00Z,2035-04-10T00:00:00Z,Lomark harbor reports,wavewranglerc2d,City of Lomark,6,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.","Wow, its Minister's Day Observed again",The secret ingredient is always saltwater.,"I must go down to the seas again, for the call of the running tide.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Clepper Jessen,2035-03-25T00:00:00Z,2035-03-27T00:00:00Z,Lomark harbor reports,wavewranglerc2d,City of Lomark,7,2035-03-20T00:00:00Z,Portmaster of Lomark,"I must go down to the seas again, for the call of the running tide.",NA,The secret ingredient is always saltwater.,"The goal is not to sail the boat, but rather to help the boat sail herself.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Haenyeo Hyun-Ki,2035-07-07T00:00:00Z,2035-07-17T00:00:00Z,South Paackland harbor reports,wavewranglerc2d,City of South Paackland,0,2035-07-05T00:00:00Z,Portmaster of South Paackland,The sea is everything. It covers seven tenths of the terrestrial globe.,NA,The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails.,"The cure for anything is salt water – sweat, tears, or the sea.",Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Haenyeo Hyun-Ki,2035-08-11T00:00:00Z,2035-08-20T00:00:00Z,South Paackland harbor reports,wavewranglerc2d,City of South Paackland,1,2035-08-03T00:00:00Z,Portmaster of South Paackland,The sea is everything. It covers seven tenths of the terrestrial globe.,NA,The sea finds out everything you did wrong.,NA,Wave Wrangler,700,110,Oceanus,"Roth, Logan and Moreno",Fishing
Clepper Jessen,2035-09-05T00:00:00Z,2035-09-14T00:00:00Z,Haacklee harbor reports,yellowfintunataker08b,City of Haacklee,0,2035-09-03T00:00:00Z,Portmaster of Haacklee,Ships at a distance have every man's wish on board.,What are you doing for Saw Appreciation Day this year?,A man is never lost at sea.,"Bare feet, salty hair.",Yellowfin Tuna Taker,4500,110,Oceanus,Brown-Haas,Fishing
Junior Shurdlu,2035-09-05T00:00:00Z,2035-09-15T00:00:00Z,Haacklee harbor reports,yellowfintunataker08b,City of Haacklee,1,2035-09-03T00:00:00Z,Portmaster of Haacklee,Ships at a distance have every man's wish on board.,Merry Minister's Day Observed to you all!,Life is better in a hammock.,"Bare feet, salty hair.",Yellowfin Tuna Taker,4500,110,Oceanus,Brown-Haas,Fishing
Clepper Jessen,2035-05-17T00:00:00Z,2035-05-25T00:00:00Z,Haacklee harbor reports,yellowfintunataker08b,City of Haacklee,2,2035-05-08T00:00:00Z,Portmaster of Haacklee,A man is never lost at sea.,NA,The sea complains upon a thousand shores.,NA,Yellowfin Tuna Taker,4500,110,Oceanus,Brown-Haas,Fishing
Haenyeo Hyun-Ki,2035-10-19T00:00:00Z,2035-10-24T00:00:00Z,Haacklee harbor reports,webigailba7,City of Haacklee,0,2035-10-18T00:00:00Z,Portmaster of Haacklee,"The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",Enjoy First Transit today!,Life is better in flip flops.,"If the ocean can calm itself, so can you. We are both salt water mixed with air.",Webigail,NA,50,Oceanus,Unknown,Other
Haenyeo Hyun-Ki,2035-10-28T00:00:00Z,2035-11-06T00:00:00Z,Haacklee harbor reports,webigailba7,City of Haacklee,1,2035-10-18T00:00:00Z,Portmaster of Haacklee,"The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",Enjoy First Transit today!,Life is better in flip flops.,"If the ocean can calm itself, so can you. We are both salt water mixed with air.",Webigail,NA,50,Oceanus,Unknown,Other
Clepper Jessen,2035-10-21T00:00:00Z,2035-10-28T00:00:00Z,Haacklee harbor reports,webigailba7,City of Haacklee,2,2035-10-18T00:00:00Z,Portmaster of Haacklee,Island vibes only.,What are you doing for Saw Appreciation Day this year?,Life is better in flip flops.,"If the ocean can calm itself, so can you. We are both salt water mixed with air.",Webigail,NA,50,Oceanus,Unknown,Other
Junior Shurdlu,2035-11-08T00:00:00Z,2035-11-18T00:00:00Z,Haacklee harbor reports,webigailba7,City of Haacklee,3,2035-11-06T00:00:00Z,Portmaster of Haacklee,"If the ocean can calm itself, so can you.",Merry Lunch of VonLipwig to you all!,Life is better in flip flops.,You can't cross the sea merely by standing and staring at the water.,Webigail,NA,50,Oceanus,Unknown,Other
Haenyeo Hyun-Ki,2035-10-04T00:00:00Z,2035-10-13T00:00:00Z,Haacklee harbor reports,webigailba7,City of Haacklee,4,2035-09-29T00:00:00Z,Portmaster of Haacklee,"To reach a port, we must set sail.",Merry Lunch of VonLipwig to you all!,Life is better in flip flops.,"The cure for anything is salt water: sweat, tears or the sea.",Webigail,NA,50,Oceanus,Unknown,Other
Clepper Jessen,2035-04-01T00:00:00Z,2035-04-10T00:00:00Z,Port Grove harbor reports,webigailba7,City of Port Grove,0,2035-03-24T00:00:00Z,Portmaster of Port Grove,Man cannot discover new oceans unless he has the courage to lose sight of the shore.,Its **Day of Future Hope** again today,"If there's a heaven for me, I'm sure it has a beach attached to it.","The goal is not to sail the boat, but rather to help the boat sail herself.",Webigail,NA,50,Oceanus,Unknown,Other
Clepper Jessen,2035-03-25T00:00:00Z,2035-04-02T00:00:00Z,Port Grove harbor reports,webigailba7,City of Port Grove,1,2035-03-24T00:00:00Z,Portmaster of Port Grove,Man cannot discover new oceans unless he has the courage to lose sight of the shore.,Its **Day of Future Hope** again today,"If there's a heaven for me, I'm sure it has a beach attached to it.","The goal is not to sail the boat, but rather to help the boat sail herself.",Webigail,NA,50,Oceanus,Unknown,Other
Clepper Jessen,2035-03-27T00:00:00Z,2035-04-04T00:00:00Z,Port Grove harbor reports,webigailba7,City of Port Grove,2,2035-03-24T00:00:00Z,Portmaster of Port Grove,Man cannot discover new oceans unless he has the courage to lose sight of the shore.,Enjoy Saw Appreciation Day today!,"If there's a heaven for me, I'm sure it has a beach attached to it.","The goal is not to sail the boat, but rather to help the boat sail herself.",Webigail,NA,50,Oceanus,Unknown,Other
Junior Shurdlu,2035-09-12T00:00:00Z,2035-09-21T00:00:00Z,Port Grove harbor reports,webigailba7,City of Port Grove,3,2035-09-04T00:00:00Z,Portmaster of Port Grove,A sailor’s joy is as simple as a child’s.,Enjoy Saw Appreciation Day today!,"The island is not just a place, but an experience.",The ocean has always been a salve to my soul.,Webigail,NA,50,Oceanus,Unknown,Other
